keycol,delay,Taxi_Rides
3_6_7,0,14
5_6_7,0,10
6_6_7,0,31
8_6_7,0,1
1_6_8,0,39
2_6_8,1,7
3_6_8,0,19
5_6_8,2,10
6_6_8,0,15
8_6_8,4,2
1_6_9,2,50
12_6_9,0,1
2_6_9,5,9
3_6_9,2,28
5_6_9,0,5
6_6_9,2,17
8_6_9,2,2
1_6_10,4,24
10_6_10,2,1
2_6_10,5,22
3_6_10,4,21
5_6_10,2,4
6_6_10,3,19
1_6_11,3,22
2_6_11,3,9
3_6_11,3,20
5_6_11,3,6
6_6_11,2,20
8_6_11,3,2
1_6_12,2,27
2_6_12,2,15
3_6_12,5,32
5_6_12,1,5
6_6_12,2,25
1_6_13,3,20
2_6_13,4,11
3_6_13,3,31
5_6_13,3,13
6_6_13,5,23
8_6_13,6,1
1_6_14,1,21
11_6_14,0,2
13_6_14,0,1
2_6_14,2,15
3_6_14,1,22
5_6_14,1,11
6_6_14,0,20
1_6_15,0,33
11_6_15,1,1
2_6_15,0,18
3_6_15,1,22
5_6_15,1,10
6_6_15,0,16
1_6_16,2,24
2_6_16,2,15
3_6_16,2,26
5_6_16,3,8
6_6_16,3,15
1_6_17,2,38
13_6_17,3,1
2_6_17,2,20
3_6_17,3,28
5_6_17,2,8
6_6_17,2,22
8_6_17,2,1
1_6_18,0,90
10_6_18,0,2
11_6_18,0,3
12_6_18,0,1
13_6_18,0,2
14_6_18,0,1
15_6_18,0,1
16_6_18,0,1
2_6_18,0,73
3_6_18,0,63
5_6_18,1,20
6_6_18,1,83
8_6_18,0,13
1_6_19,1,42
10_6_19,3,1
11_6_19,0,3
2_6_19,2,17
3_6_19,0,57
5_6_19,1,16
6_6_19,3,31
8_6_19,2,10
1_6_20,3,40
10_6_20,3,3
11_6_20,3,2
12_6_20,2,2
13_6_20,3,1
2_6_20,4,23
3_6_20,5,54
5_6_20,2,13
6_6_20,2,35
8_6_20,3,6
1_7_7,0,23
10_7_7,1,1
2_7_7,0,15
3_7_7,0,14
5_7_7,0,12
6_7_7,0,22
1_7_8,1,27
13_7_8,1,1
2_7_8,0,12
3_7_8,1,18
5_7_8,0,12
6_7_8,0,22
8_7_8,0,2
1_7_9,0,54
2_7_9,3,18
3_7_9,2,29
5_7_9,0,12
6_7_9,2,41
8_7_9,2,2
1_7_10,4,25
2_7_10,4,25
3_7_10,3,12
5_7_10,3,10
6_7_10,2,29
8_7_10,1,1
1_7_11,5,27
2_7_11,5,12
3_7_11,6,22
5_7_11,4,9
6_7_11,6,24
1_7_12,3,25
2_7_12,2,12
3_7_12,4,38
5_7_12,4,14
6_7_12,3,28
8_7_12,3,1
1_7_13,2,18
2_7_13,4,16
3_7_13,2,27
5_7_13,2,10
6_7_13,3,18
8_7_13,3,2
1_7_14,0,26
2_7_14,1,22
3_7_14,2,35
5_7_14,2,16
6_7_14,0,30
8_7_14,2,2
1_7_15,0,22
2_7_15,0,15
3_7_15,1,28
5_7_15,1,8
6_7_15,2,14
1_7_16,1,30
2_7_16,0,15
3_7_16,1,22
5_7_16,2,12
6_7_16,1,16
8_7_16,3,2
1_7_17,0,38
11_7_17,3,1
12_7_17,1,1
2_7_17,0,17
3_7_17,2,30
5_7_17,0,6
6_7_17,0,20
1_7_18,0,55
11_7_18,0,1
2_7_18,1,23
3_7_18,0,44
5_7_18,0,13
6_7_18,2,30
8_7_18,0,3
1_7_19,1,32
11_7_19,1,1
12_7_19,1,1
13_7_19,1,1
2_7_19,0,25
1_7_20,1,52
10_7_20,2,2
11_7_20,2,1
12_7_20,2,1
2_7_20,2,24
3_7_20,2,34
5_7_20,2,15
6_7_20,2,25
1_8_11,0,22
11_8_11,1,1
12_8_11,0,1
2_8_11,1,13
3_8_11,1,41
5_8_11,1,12
6_8_11,0,28
1_8_12,1,25
11_8_12,0,1
2_8_12,1,18
3_8_12,1,41
5_8_12,0,17
6_8_12,0,25
1_8_13,2,37
10_8_13,3,1
